Industry Code,2005-1,2005-2,2005-3,2005-4,2006-1,2006-2,2006-3,2006-4,2007-1,2007-2,2007-3,2007-4,2008-1,2008-2,2008-3,2008-4,2009-1,2009-2,2009-3,2009-4,2010-1,2010-2,2010-3,2010-4,2011-1,2011-2,2011-3,2011-4,2012-1,2012-2,2012-3,2012-4,2013-1,2013-2,2013-3,2013-4,2014-1,2014-2,2014-3,2014-4,2015-1,2015-2,2015-3,2015-4,2016-1,2016-2,2016-3,2016-4,2017-1,2017-2,2017-3,2017-4,2018-1,2018-2,2018-3,2018-4,2019-1,2019-2,2019-3,2019-4,2020-1,2020--2,2020-3,2020-4,2021-1,2021-2,2021-3,2021-4,2022-1,2022-2,2022-3,2022-4,2023-1,2023-2,2023-3,2023-4,2024-1,2024-2,2024-3
11,299,299.6,300.7,301.4,298,299.4,304.3,314.5,339.6,343.7,348.9,365.2,374,380,377.5,359,337.4,333.6,335.1,349.9,352.1,358.8,368.6,386.8,424.7,421.9,434.2,437.2,445.8,449.9,449.7,458.9,489,492.4,493.7,474.4,489.3,513.6,496,495.4,462.9,455.8,461,451.9,439.4,435.1,425.7,423.4,449.3,450,446.4,450,451.7,455.3,440.7,444.8,431.8,434.6,440.5,449.2,454.8,406.8,440.4,471.2,486.9,539.3,556.2,555,598.6,643.3,656.2,660.7,645.9,623.1,616.2,601.6,594.3,589,592.5
111CA,252.4,253.9,254.2,253.7,249.1,251,256.9,267.9,293.5,299,305.5,321.1,329.7,334.8,331.8,315,294.5,292.3,294.2,309.7,307.9,312.9,322.7,340.2,375.8,372.5,384.2,388.8,398.4,402.3,403.5,412.4,442.1,443.8,442.4,421.9,432.8,457.7,439.9,438.5,406.5,401.4,405.8,399,387,384.2,376.1,371.9,396.8,396.5,393.1,395.7,396.4,399.3,390.1,394.6,381.4,384.1,389.8,396.9,401.7,356.6,386.5,413.2,427.2,478.5,493.4,492.4,533.6,579.2,589.5,594.6,579.2,557.1,549.6,535.5,528.8,525.6,531.5
113FF,46.6,45.7,46.5,47.7,48.9,48.4,47.4,46.6,46.1,44.7,43.3,44.1,44.3,45.2,45.7,44,42.9,41.2,40.9,40.2,44.2,45.9,45.9,46.6,48.9,49.4,50,48.4,47.4,47.5,46.2,46.4,46.9,48.6,51.3,52.5,56.5,56,56.1,56.9,56.3,54.5,55.3,52.9,52.4,51,49.6,51.4,52.5,53.5,53.4,54.2,55.4,56,50.6,50.2,50.4,50.5,50.7,52.3,53.1,50.2,53.9,58,59.7,60.8,62.8,62.6,65.1,64.2,66.7,66.1,66.8,65.9,66.6,66.1,65.5,63.4,61
21,342.7,369.2,404.7,461.2,445.3,447.3,454,434.1,436.3,473.9,473.4,521.6,577.3,703.4,682.5,495.1,412.7,381.6,392.9,432.5,494.1,483.3,501.2,521.7,555.8,611.3,610.5,629.6,637.6,600.9,600,615.2,628.2,658.2,685.6,649.2,721.5,767.7,747.3,674.2,536.9,515.7,464.6,408.6,332.2,356.6,379.3,402.7,453.7,447,449.7,500.8,545.6,573,613.5,610.1,563.5,568.4,554.9,544.1,489.5,294.7,354.7,404.2,490.2,578.2,627.1,736.5,788.2,952.3,948.4,813.7,754.8,683.2,718.4,721.5,694.9,704.6,689
211,211.7,227.7,255.5,302,267.8,257.7,263.2,241,244.5,273,271.3,318.8,366.7,476,444.8,265.9,205.1,208.1,228.9,268.2,316.3,289.1,299.5,313.9,343.4,387.9,375.8,384.7,380.6,342.7,353.2,374,389.9,414.4,438,408.7,462.8,485.2,456.6,378.4,257.4,270.4,236.1,202.3,159.7,195.5,212.6,231.4,255,238.9,240,282,315.4,335,368.1,368,324,321.6,304.6,313.9,258.6,143.4,199.5,240.5,312,391.4,439.4,544.9,581.3,732.1,716,582.3,506.1,441.8,486.1,481,455.9,465.6,450.5
212,79,83.8,85.7,88.7,96.4,102.9,102.4,101.6,98.4,105.7,106.3,107.6,112.1,119.8,122.3,110.4,108.9,103.5,104.1,103.3,106.1,111.7,113.8,119.1,125.1,131.4,134.4,132.6,133.6,126.8,119,119.1,114.4,114.2,116,113,116.6,119.4,118.5,110,110.2,106,104.2,97.4,92.1,93.2,96.4,97.8,102.7,100.4,100.6,103.8,106.8,107.6,106.2,107,105.4,109.2,106.6,103.2,100.4,87.3,97.1,100.4,111.6,115.4,117.3,119.3,128.3,136.5,139.6,136.2,143.2,134.7,133.3,136.4,138.4,136.5,139.8
213,52,57.7,63.6,70.6,81.2,86.7,88.3,91.4,93.4,95.3,95.8,95.2,98.5,107.6,115.3,118.8,98.7,70,59.9,61,71.6,82.5,87.9,88.8,87.2,92,100.3,112.4,123.5,131.4,127.8,122.1,124,129.6,131.6,127.4,142.1,163,172.2,185.7,169.4,139.3,124.3,108.9,80.4,68,70.4,73.5,96,107.7,109.1,115,123.3,130.4,139.2,135.1,134.1,137.6,143.7,127.1,130.5,64,58.1,63.3,66.6,71.4,70.5,72.3,78.5,83.8,92.7,95.2,105.5,106.7,98.9,104.1,100.5,102.5,98.6
22,383.3,394,431.8,455.8,427.2,422.2,428.2,410.4,439.5,450.7,449.1,467.3,497.7,555.1,545.4,501.4,467.4,421,408.7,449,486.4,486.3,505.8,499.5,490.1,488.7,493.1,467.7,445.7,461,468.8,470.9,471.5,489.6,477.4,498.9,539.9,520.5,504.4,518.2,525.3,497.8,484.9,461.3,449.8,466.6,489.3,476.3,465.8,485.1,467.9,477.7,509.5,513,515.3,524.2,529.4,510.3,525.2,507,481.4,475.1,501.2,520.2,591.8,573.6,593.1,618.1,632.7,726.9,742.9,694.6,670.9,604,666.4,619.8,633,643.4,635
23,1239.3,1269,1302.4,1337.6,1369.7,1366.5,1348.1,1330.2,1333.8,1347,1343.7,1331.4,1297.4,1294.7,1277.7,1233.1,1164.6,1109.2,1083.7,1037.4,991.6,1030,1017.1,1027.8,983.5,1017.4,1027.9,1053,1067.7,1064.9,1072.8,1096.5,1107,1140,1183.8,1204.3,1226.4,1256.1,1274.9,1301.2,1334.2,1396,1417.5,1434.2,1476.7,1493,1513.3,1551.4,1555.9,1571,1575.6,1609.3,1638.4,1671.7,1679.8,1657.9,1673.9,1722.4,1759.2,1773.1,1813.8,1756.4,1807.3,1861.9,1940.2,1981.4,1998.7,2040.5,2137.2,2199.9,2210.9,2230,2246.9,2294.5,2359.1,2443.1,2494.1,2509.6,2524
311FT,646,662.4,667.2,668.3,667,663.7,660.9,678.8,689.1,714.6,734.8,743.4,749.5,783.7,801.8,779.6,767.2,773.7,774.5,774.4,792.2,795.7,801.7,811.8,831.6,854.6,861.1,876.7,877,891.8,895.5,919.1,916,917.2,926.3,927.9,943.4,954.1,955.2,959.9,955.3,949.5,953.7,947.8,946.2,949,958.7,956.1,952,955.3,950.1,955,952.7,955.6,961.7,955.8,965.2,973.1,988.7,984.3,989.4,981,1007,1026.9,1044.4,1082.6,1101.7,1116.5,1134.9,1158.1,1169.4,1167.6,1182.3,1173.1,1182.1,1181.7,1191.7,1201.2,1214
